ts,sid,aid,rps,p50,p90,p99,err_rate,cb,rt_rate,reward,ce,ra
2026-04-26T04:35:11.095133,1,1,20.0,3.9774,8.6598,13.75,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:35:26.126240,1,1,20.0,4.0139,8.6949,14.6154,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:35:41.160000,1,1,20.0,4.0242,8.7245,16.0,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:35:56.191389,1,1,20.0,4.0207,8.6824,13.75,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:36:11.223324,1,1,20.0,3.9577,8.5764,9.9826,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:36:26.243170,1,1,20.0,3.8871,8.4672,9.9453,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:36:41.272056,1,1,20.0,3.8608,8.4328,9.944,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:36:56.316042,1,1,20.0,3.9565,8.5664,9.9825,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:37:11.347170,1,1,20.0,4.0328,8.7288,16.0,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:37:26.378991,1,1,20.0,4.0189,8.7158,16.0,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:37:41.409995,1,1,20.0,3.894,8.6278,17.0588,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:37:56.439877,1,1,20.0,4.0,8.6519,12.7273,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:38:11.472160,1,1,20.0,4.0993,8.7581,14.6154,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:38:26.524516,1,1,20.0,4.1032,8.75,13.75,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:38:41.554695,1,1,20.0,4.0503,8.7167,14.6154,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:38:56.584140,1,1,20.0,3.971,8.6538,14.6154,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:39:11.616602,1,1,20.0,4.0328,8.6667,11.5,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:39:26.646643,1,1,20.0,3.9864,8.6254,11.5,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:39:41.677602,1,1,20.0,3.9764,8.5739,9.9656,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:39:56.722686,1,1,20.0,4.0291,8.6333,9.9833,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:40:11.755690,1,1,20.0,4.0785,8.6893,10.0,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:40:26.786439,1,1,20.0,4.1429,8.7618,12.7273,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:40:41.813197,1,1,20.0,4.0189,8.7031,15.3571,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:40:56.839525,1,1,20.0,3.9249,8.6051,14.6154,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:41:11.874535,1,1,20.0,4.0576,8.6946,13.75,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:41:26.913625,1,1,20.0,4.0704,8.7134,12.7273,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:41:41.945208,1,1,20.0,4.0069,8.6288,9.9833,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:41:56.975380,1,1,20.0,4.1103,8.6834,9.953,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:42:12.003279,1,1,20.0,4.0877,8.6859,9.984,0.0,0.0,0.0,0.4,3,1
2026-04-26T04:42:57.532695,1,2,20.0,3.988,8.7324,17.5,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:43:12.563969,1,2,20.0,3.9495,8.593,11.47,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:43:27.593249,1,2,20.0,3.907,8.5894,14.5808,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:43:42.623355,1,2,20.0,3.9203,8.6259,15.97,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:43:57.654300,1,2,20.0,3.852,8.575,16.5531,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:44:12.684631,1,2,20.0,3.8715,8.5634,14.6154,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:44:27.730900,1,2,20.0,3.8216,8.4884,13.75,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:44:42.769736,1,2,20.0,3.8952,8.5662,13.75,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:44:57.800095,1,2,20.0,3.983,8.6989,16.5719,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:45:12.831866,1,2,20.0,4.0896,8.7606,15.3464,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:45:27.863058,1,2,20.0,4.081,8.8183,17.9026,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:45:42.886491,1,2,20.0,4.0189,8.7167,15.98,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:45:57.936844,1,2,20.0,3.9846,8.6397,12.7409,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:46:12.971681,1,2,20.0,3.9577,8.5411,9.9312,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:46:27.996879,1,2,20.0,3.9862,8.598,9.9662,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:46:43.031250,1,2,20.0,4.0508,8.699,12.7136,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:46:58.064710,1,2,20.0,4.115,8.766,14.6154,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:47:13.096394,1,2,20.0,4.0662,8.7542,16.0,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:47:28.145642,1,2,20.0,3.9966,8.7857,18.8636,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:47:43.176119,1,2,20.0,4.0051,8.7809,18.5714,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:47:58.207016,1,2,20.0,4.0186,8.7852,18.5714,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:48:13.237360,1,2,20.0,4.0222,8.7414,17.0588,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:48:28.266699,1,2,20.0,4.0,8.75,17.8947,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:48:43.300277,1,2,20.0,3.9693,8.7455,18.25,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:48:58.377716,1,2,20.0,3.9966,8.7413,17.5,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:49:13.419361,1,2,20.0,4.0227,8.7415,16.5625,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:49:28.456165,1,2,20.0,4.0559,8.7375,15.3571,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:49:43.483071,1,2,20.0,4.0947,8.8119,17.5,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:49:58.531290,1,2,20.0,4.1571,8.8535,17.5,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:50:13.565044,1,2,20.0,4.2587,8.8772,16.0,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:50:28.595186,1,2,20.0,4.1403,8.7344,10.0,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:50:43.621572,1,2,20.0,4.0447,8.6711,11.5,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:50:58.649660,1,2,20.0,3.9073,8.5978,15.3571,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:51:13.679745,1,2,20.0,4.0311,8.7162,15.3571,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:51:28.720592,1,2,20.0,4.1373,8.7937,15.3571,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:51:43.751284,1,2,20.0,4.1541,8.7812,13.75,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:51:58.782584,1,2,20.0,4.1418,8.7937,15.3571,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:52:13.810565,1,2,20.0,3.9726,8.6458,13.75,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:52:28.840313,1,2,20.0,4.0122,8.6949,14.6154,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:52:43.871545,1,2,20.0,3.9793,8.7324,17.5,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:52:58.900262,1,2,20.0,4.0641,8.8265,18.5714,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:53:13.947712,1,2,20.0,4.0289,8.7674,17.8947,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:53:28.982857,1,2,20.0,3.9712,8.6491,14.6154,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:53:44.014156,1,2,20.0,3.9777,8.7279,17.5,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:53:59.043638,1,2,20.0,4.0426,8.8007,17.8947,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:54:14.073617,1,2,20.0,4.1071,8.8651,18.5714,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:54:29.094079,1,2,20.0,4.0453,8.7167,14.6154,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:54:44.149385,1,2,20.0,3.9338,8.6051,14.6154,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:54:59.183068,1,2,20.0,3.8693,8.5417,14.6154,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:55:14.210952,1,2,20.0,3.8797,8.5849,16.0,0.0,0.0,0.0,0.4,5,2
2026-04-26T04:55:59.725220,1,3,20.0,4.2251,8.911,17.8947,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:56:14.758921,1,3,20.0,4.0655,8.7377,14.6154,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:56:29.791186,1,3,20.0,4.0899,8.7622,15.3571,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:56:44.821019,1,3,20.0,4.0311,8.7037,14.6154,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:56:59.845714,1,3,20.0,4.1727,8.7809,12.7273,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:57:14.876443,1,3,20.0,3.9915,8.6177,10.0,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:57:29.906880,1,3,20.0,4.0347,8.7081,14.6154,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:57:44.955097,1,3,20.0,3.8949,8.5704,12.7,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:57:59.988950,1,3,20.0,3.9878,8.6453,11.47,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:58:15.019360,1,3,20.0,3.8874,8.4822,9.9283,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:58:30.042805,1,3,20.0,3.8768,8.489,9.9812,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:58:45.067357,1,3,20.0,3.8567,8.5558,15.99,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:59:00.099037,1,3,20.0,3.8442,8.5686,17.0588,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:59:15.154568,1,3,20.0,3.8637,8.567,16.02,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:59:30.191059,1,3,20.0,3.9259,8.586,12.7409,0.0,0.0,0.0,0.4,8,3
2026-04-26T04:59:45.223031,1,3,20.0,3.9863,8.6284,11.485,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:00:00.248244,1,3,20.0,3.9983,8.6862,15.3357,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:00:15.280235,1,3,20.0,3.988,8.6944,15.98,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:00:30.309425,1,3,20.0,4.0592,8.7129,13.75,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:00:45.358031,1,3,20.0,4.1332,8.7188,9.9844,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:01:00.391639,1,3,20.0,4.1474,8.7383,10.0,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:01:15.451599,1,3,20.0,4.0823,8.7296,13.75,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:01:30.489727,1,3,20.0,4.0737,8.8384,18.5714,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:01:45.527730,1,3,20.0,3.9744,8.75,18.25,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:02:00.564118,1,3,20.0,4.0453,8.8185,18.5714,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:02:15.594665,1,3,20.0,3.9983,8.7197,16.5625,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:02:30.623580,1,3,20.0,3.9763,8.6538,14.6154,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:02:45.643087,1,3,20.0,3.9213,8.6182,15.3571,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:03:00.670655,1,3,20.0,3.9182,8.5357,9.9821,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:03:15.718792,1,3,20.0,3.9777,8.6888,16.0,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:03:30.759456,1,3,20.0,4.0883,8.7993,17.0588,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:03:45.793868,1,3,20.0,4.0259,8.7759,17.8947,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:04:00.824663,1,3,20.0,4.1009,8.7702,15.3571,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:04:15.850723,1,3,20.0,4.0173,8.6949,14.6154,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:04:30.880996,1,3,20.0,4.1382,8.8217,16.5625,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:04:45.914096,1,3,20.0,4.0293,8.75,17.0588,0.0,0.0,0.0,0.4,8,3
2026-04-26T05:05:00.966178,1,3,20.0,4.019,8.7457,17.0588,0.0,0.0,0.0,0.4,8,3
